Rk,Squad,Pts,Top Team Scorer
1,Paris S-G,86,Kylian Mbappé - 28
2,Marseille,71,Dimitri Payet - 12
3,Monaco,69,Wissam Ben Yedder - 25
4,Rennes,66,Martin Terrier - 21
5,Nice,66,Andy Delort - 16
6,Strasbourg,63,Ludovic Ajorque - 12
7,Lens,62,Arnaud Kalimuendo - 12
8,Lyon,61,Moussa Dembélé - 21
9,Nantes,55,Randal Kolo Muani - 12
10,Lille,55,Jonathan David - 15
11,Brest,48,Franck Honorat - 11
12,Reims,46,Hugo Ekitike - 10
13,Montpellier,43,Sepe Elye Wahi - 10
14,Angers,41,Sofiane Boufal - 8
15,Troyes,38,Xavier Chavalerin Ike Ugbo - 5
16,Lorient,36,Terem Moffi - 8
17,Clermont Foot,36,Mohamed Bayo - 14
18,Saint-Étienne,32,Wahbi Khazri - 10
19,Metz,31,Nicolas de Préville - 5
20,Bordeaux,31,Hwang Ui-jo - 11
