Rk,Squad,Pts,Top Team Scorer
1,Manchester City,86,İlkay Gündoğan - 13
2,Manchester Utd,74,Bruno Fernandes - 18
3,Liverpool,69,Mohamed Salah - 22
4,Chelsea,67,Jorginho - 7
5,Leicester City,66,Jamie Vardy - 15
6,West Ham,65,Tomáš Souček Michail Antonio - 10
7,Tottenham,62,Harry Kane - 23
8,Arsenal,61,Alexandre Lacazette - 13
9,Leeds United,59,Patrick Bamford - 17
10,Everton,59,Dominic Calvert-Lewin - 16
11,Aston Villa,55,Ollie Watkins - 14
12,Newcastle Utd,45,Callum Wilson - 12
13,Wolves,45,Rúben Neves Pedro Neto - 5
14,Crystal Palace,44,Wilfried Zaha - 11
15,Southampton,43,Danny Ings - 12
16,Brighton,41,Neal Maupay - 8
17,Burnley,39,Chris Wood - 12
18,Fulham,28,Bobby Reid - 5
19,West Brom,26,Matheus Pereira - 11
20,Sheffield Utd,23,David McGoldrick - 8
