,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,26,50,48,4347,48.3,1,7,1,0,0,3,0,0.02,0.14,0.17,0.02,0.17,1.5,1.5,8.2,9.6,0.03,0.18,0.21,0.03,0.21,Matches
Mohamed Salah\e342ad68,eg EGY,FW,28,51,47,4199,46.7,31,6,24,7,7,0,0,0.66,0.13,0.79,0.51,0.64,25.9,20.6,7.3,27.9,0.60,0.17,0.77,0.48,0.65,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,29,51,45,3913,43.5,3,0,3,0,0,3,0,0.07,0.00,0.07,0.07,0.07,3.9,3.9,1.8,5.7,0.10,0.04,0.14,0.10,0.14,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,21,45,43,3832,42.6,2,9,2,0,0,4,0,0.05,0.21,0.26,0.05,0.26,2.8,2.8,10.9,13.6,0.07,0.26,0.33,0.07,0.33,Matches
Alisson\7a2e46a8,br BRA,GK,27,42,42,3810,42.3,1,0,1,0,0,1,0,0.02,0.00,0.02,0.02,0.02,0.1,0.1,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Matches
Sadio Mané\c691bfe2,sn SEN,FW,28,48,41,3746,41.6,16,8,16,0,0,6,0,0.38,0.19,0.58,0.38,0.58,17.8,17.8,6.6,24.4,0.45,0.17,0.62,0.45,0.62,Matches
Fabinho\7f3b388c,br BRA,MF,26,42,38,3466,38.5,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.8,1.3,0.02,0.02,0.04,0.02,0.04,Matches
Roberto Firmino\4c370d81,br BRA,FW,28,48,38,3360,37.3,9,9,9,0,0,2,0,0.24,0.24,0.48,0.24,0.48,14.5,14.5,7.2,21.7,0.41,0.20,0.62,0.41,0.62,Matches
Thiago Alcántara\77e84962,es ESP,MF,29,30,23,2201,24.5,1,0,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,1.5,1.5,2.5,4.0,0.07,0.11,0.17,0.07,0.17,Matches
Jordan Henderson\935e6b8f,eng ENG,MFDF,30,28,25,2113,23.5,1,1,1,0,0,2,0,0.04,0.04,0.09,0.04,0.09,1.8,1.8,1.6,3.4,0.08,0.07,0.15,0.08,0.15,Matches
Curtis Jones\4fb9c88f,eng ENG,MF,19,34,22,1952,21.7,4,5,4,0,0,4,0,0.18,0.23,0.41,0.18,0.41,2.0,2.0,2.5,4.5,0.11,0.14,0.25,0.11,0.25,Matches
James Milner\2f90f6b8,eng ENG,MF,34,36,19,1760,19.6,0,1,0,0,0,6,0,0.00,0.05,0.05,0.00,0.05,0.7,0.7,1.4,2.1,0.04,0.09,0.13,0.04,0.13,Matches
Diogo Jota\178ae8f8,pt POR,FW,23,30,19,1760,19.6,13,1,13,0,0,2,0,0.66,0.05,0.72,0.66,0.72,10.6,10.6,2.4,12.9,0.58,0.13,0.71,0.58,0.71,Matches
Nathaniel Phillips\515ebe8d,eng ENG,DF,23,20,18,1726,19.2,1,1,1,0,0,3,0,0.05,0.05,0.10,0.05,0.10,1.2,1.2,0.4,1.6,0.06,0.02,0.08,0.06,0.08,Matches
Rhys Williams\012c975a,eng ENG,DF,19,19,14,1354,15.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.4,0.9,0.05,0.03,0.08,0.05,0.08,Matches
Ozan Kabak\2d61d13a,tr TUR,DF,20,13,13,1120,12.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.02,0.01,0.03,0.02,0.03,Matches
Joe Gomez\7a11550b,eng ENG,DF,23,12,10,1010,11.2,0,1,0,0,0,0,0,0.00,0.09,0.09,0.00,0.09,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches
Joël Matip\b217ef29,cm CMR,DF,28,12,11,865,9.6,1,2,1,0,0,2,0,0.10,0.21,0.31,0.10,0.31,0.7,0.7,1.0,1.7,0.07,0.11,0.18,0.07,0.18,Matches
Xherdan Shaqiri\6421ec64,ch SUI,MFFW,28,22,7,829,9.2,1,4,1,0,0,2,0,0.11,0.43,0.54,0.11,0.54,0.5,0.5,3.5,3.9,0.06,0.43,0.49,0.06,0.49,Matches
Takumi Minamino\f833a830,jp JPN,FWMF,25,17,7,781,8.7,4,2,4,0,0,1,0,0.46,0.23,0.69,0.46,0.69,1.0,1.0,0.2,1.2,0.19,0.04,0.23,0.19,0.23,Matches
Neco Williams\dd323728,wls WAL,DF,19,14,9,767,8.5,0,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.2,0.2,0.9,1.1,0.04,0.19,0.23,0.04,0.23,Matches
