,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Naby Keïta\f25c8e3a,gn GUI,MF,25,16,9,744,8.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,1.2,1.7,0.08,0.16,0.24,0.08,0.24,Matches
Virgil van Dijk\e06683ca,nl NED,DF,29,8,8,595,6.6,1,0,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,0.3,0.3,0.0,0.3,0.08,0.00,0.08,0.08,0.08,Matches
Divock Origi\43a166b4,be BEL,FW,25,17,6,542,6.0,1,2,1,0,0,0,0,0.17,0.33,0.50,0.17,0.50,1.1,1.1,0.9,2.0,0.25,0.21,0.46,0.25,0.46,Matches
Adrián\f76e6b4e,es ESP,GK,33,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Caoimhín Kelleher\62d7ef38,ie IRL,GK,21,5,5,450,5.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,26,17,2,299,3.3,1,1,1,0,0,0,0,0.30,0.30,0.60,0.30,0.60,0.4,0.4,0.2,0.6,0.12,0.07,0.19,0.12,0.19,Matches
Kostas Tsimikas\f315ca93,gr GRE,DF,24,7,3,227,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches
Marko Grujić\8b8e759d,rs SRB,MF,24,2,2,180,2.0,1,0,1,0,0,0,0,0.50,0.00,0.50,0.50,0.50,,,,,,,,,,Matches
Harry Wilson\c6dc9ecd,wls WAL,MF,23,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Leighton Clarkson\d5dafedb,eng ENG,MF,18,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.04,0.04,0.00,0.04,Matches
Harvey Elliott\c8387671,eng ENG,FW,17,1,1,56,0.6,0,1,0,0,0,0,0,0.00,1.61,1.61,0.00,1.61,,,,,,,,,,Matches
Billy Koumetio\866c67e9,fr FRA,DF,17,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Rhian Brewster\30e81a88,eng ENG,FW,20,1,0,31,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Jake Cain\a33ce8e2,eng ENG,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Vitezslav Jaros\12bb4d6a,cz CZE,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ben Davies\c9009a1f,eng ENG,DF,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Harvey Davies\fd08a24b,eng ENG,GK,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Liam Hughes\54ae11f8,nir NIR,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ben Woodburn\8aadeaef,wls WAL,FWMF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jakub Ojrzynski\94e5390a,pl POL,GK,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Sepp van den Berg\7bf9400b,nl NED,DFMF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
