,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Marquinhos\d5f2f82b,br BRA,MFDF,24,44,43,3859,42.9,4,2,4,0,0,4,1,0.09,0.05,0.14,0.09,0.14,1.7,1.7,2.1,3.8,0.05,0.06,0.10,0.05,0.10,Matches
Kylian Mbappé\42fd9c7f,fr FRA,FW,19,43,36,3520,39.1,39,15,36,3,5,6,2,1.00,0.38,1.38,0.92,1.30,32.4,30.8,9.3,40.2,0.96,0.28,1.23,0.91,1.19,Matches
Ángel Di María\19cda00b,ar ARG,FWMF,30,45,43,3474,38.6,19,16,19,0,0,4,0,0.49,0.41,0.91,0.49,0.91,10.8,10.8,11.8,22.6,0.33,0.36,0.68,0.33,0.68,Matches
Thiago Silva\86e7deaf,br BRA,DF,33,39,38,3294,36.6,0,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,1.0,1.0,0.6,1.6,0.03,0.02,0.05,0.03,0.05,Matches
Juan Bernat\433dc9a2,es ESP,DFMF,25,41,36,3207,35.6,4,2,4,0,0,11,1,0.11,0.06,0.17,0.11,0.17,2.0,2.0,4.6,6.5,0.07,0.16,0.23,0.07,0.23,Matches
Presnel Kimpembe\aef6e670,fr FRA,DF,22,36,34,3043,33.8,1,1,1,0,0,5,1,0.03,0.03,0.06,0.03,0.06,0.7,0.7,0.8,1.5,0.02,0.03,0.05,0.02,0.05,Matches
Julian Draxler\1a992676,de GER,MFFW,24,46,32,2981,33.1,5,11,5,0,0,9,0,0.15,0.33,0.48,0.15,0.48,5.0,5.0,5.9,10.9,0.19,0.23,0.42,0.19,0.42,Matches
Thilo Kehrer\51dbeea9,de GER,DF,21,40,30,2960,32.9,1,2,1,0,0,7,0,0.03,0.06,0.09,0.03,0.09,1.8,1.8,0.6,2.4,0.07,0.02,0.09,0.07,0.09,Matches
Marco Verratti\1467af0d,it ITA,MF,25,38,34,2897,32.2,1,3,1,0,0,13,0,0.03,0.09,0.12,0.03,0.12,0.2,0.2,4.3,4.6,0.01,0.16,0.17,0.01,0.17,Matches
Alphonse Areola\2f965a72,fr FRA,GK,25,31,31,2805,31.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Edinson Cavani\527f063d,uy URU,FW,31,33,27,2381,26.5,23,8,19,4,5,3,0,0.87,0.30,1.17,0.72,1.02,19.2,15.4,2.6,18.0,0.83,0.11,0.94,0.66,0.78,Matches
Thomas Meunier\e162b013,be BEL,DFMF,26,31,27,2363,26.3,5,5,5,0,0,3,0,0.19,0.19,0.38,0.19,0.38,3.1,3.1,4.0,7.0,0.14,0.18,0.32,0.14,0.32,Matches
Neymar\69384e5d,br BRA,FWMF,26,28,26,2346,26.1,23,11,18,5,5,7,0,0.88,0.42,1.30,0.69,1.11,14.2,10.4,7.6,18.0,0.65,0.35,1.00,0.48,0.82,Matches
Dani Alves\c9e99e49,br BRA,MFDF,35,32,25,2247,25.0,3,7,3,0,0,5,0,0.12,0.28,0.40,0.12,0.40,2.4,2.4,7.2,9.6,0.12,0.36,0.47,0.12,0.47,Matches
Gianluigi Buffon\e40d028b,it ITA,GK,40,25,24,2205,24.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Leandro Paredes\dff153a4,ar ARG,MF,24,22,16,1579,17.5,0,2,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11,0.4,0.4,2.6,3.0,0.03,0.18,0.21,0.03,0.21,Matches
Moussa Diaby\aeed5c06,fr FRA,MF,19,34,13,1543,17.1,4,7,4,0,0,1,0,0.23,0.41,0.64,0.23,0.64,2.3,2.3,4.2,6.5,0.18,0.33,0.51,0.18,0.51,Matches
Christopher Nkunku\7c56da38,fr FRA,FWMF,20,29,17,1491,16.6,4,2,4,0,0,0,0,0.24,0.12,0.36,0.24,0.36,2.3,2.3,3.3,5.6,0.18,0.26,0.43,0.18,0.43,Matches
Adrien Rabiot\8794e251,fr FRA,MF,23,20,16,1437,16.0,2,2,2,0,0,3,0,0.13,0.13,0.25,0.13,0.25,1.6,1.6,0.5,2.0,0.11,0.03,0.14,0.11,0.14,Matches
Eric Maxim Choupo-Moting\0e6bc38c,cm CMR,FW,29,31,13,1278,14.2,3,2,3,0,0,0,0,0.21,0.14,0.35,0.21,0.35,4.8,4.8,0.5,5.2,0.50,0.05,0.55,0.50,0.55,Matches
Colin Dagba\29c02c9f,fr FRA,MF,19,22,11,1161,12.9,0,2,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,0.1,0.1,1.4,1.5,0.01,0.13,0.14,0.01,0.14,Matches
Layvin Kurzawa\41e7ef1c,fr FRA,DF,25,21,13,1148,12.8,1,2,1,0,0,5,0,0.08,0.16,0.24,0.08,0.24,1.5,1.5,2.4,3.9,0.14,0.21,0.35,0.14,0.35,Matches
Stanley N'Soki\61590953,fr FRA,DF,19,15,10,883,9.8,0,2,0,0,0,3,0,0.00,0.20,0.20,0.00,0.20,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches
Lassana Diarra\79584585,fr FRA,MF,33,4,3,222,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
Antoine Bernede\07a821e4,fr FRA,MF,19,3,2,186,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.02,0.04,0.06,0.02,0.06,Matches
Loïc Mbe Soh\8f534f8e,fr FRA,DF,17,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.17,0.00,0.17,0.17,0.17,Matches
Timothy Weah\8eec784d,us USA,FW,18,3,2,144,1.6,2,0,2,0,0,1,0,1.25,0.00,1.25,1.25,1.25,0.8,0.8,0.1,0.9,1.33,0.13,1.46,1.33,1.46,Matches
Kévin Rimane\7a137df4,gf GUF,MF,27,3,1,123,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Metehan Güçlü\0ee664db,tr TUR,FW,19,1,0,17,0.2,1,0,1,0,0,0,0,5.29,0.00,5.29,5.29,5.29,0.2,0.2,0.2,0.4,1.25,0.91,2.16,1.25,2.16,Matches
Giovani Lo Celso\d7553721,ar ARG,MF,22,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Jesé\4a537185,es ESP,FWMF,25,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Arthur Zagre\3225654e,fr FRA,DF,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Junior Dina Ebimbe\95bb6ddc,fr FRA,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Isaac Hemans Arday\a3a88c8e,gh GHA,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kevin Trapp\ce17b5eb,de GER,GK,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Azzeddine Toufiqui\2c55fadb,fr FRA,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Sébastien Cibois\2b9b37b2,fr FRA,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
