Rk,Squad,Pts,Top Team Scorer
1,Atlético Madrid,86,Luis Suárez - 21
2,Real Madrid,84,Karim Benzema - 23
3,Barcelona,79,Lionel Messi - 30
4,Sevilla,77,Youssef En-Nesyri - 18
5,Real Sociedad,62,Alexander Isak - 17
6,Betis,61,Borja Iglesias - 11
7,Villarreal,58,Gerard Moreno - 23
8,Celta Vigo,53,Iago Aspas - 14
9,Granada,46,Roberto Soldado - 9
10,Athletic Club,46,Álex Berenguer - 8
11,Osasuna,44,Ante Budimir - 11
12,Cádiz,44,Álvaro Negredo - 8
13,Valencia,43,Carlos Soler - 11
14,Levante,41,José Luis Morales - 13
15,Getafe,38,Jaime Mata Ángel Rodríguez - 5
16,Alavés,38,Joselu - 11
17,Elche,36,Lucas Boyé - 7
18,Huesca,34,Rafa Mir - 13
19,Valladolid,31,Shon Weissman Fabián Orellana - 6
20,Eibar,30,Kike - 12
