,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Marco Asensio\45af8a54,es ESP,FWMF,21,52,28,2846,31.6,11,7,10,1,1,2,0,0.35,0.23,0.52,0.32,0.49,4.6,4.6,5.2,9.9,0.23,0.26,0.48,0.23,0.48,Matches
Isco\a0b4bb3e,es ESP,MF,25,47,34,2812,31.2,9,9,8,1,1,2,0,0.29,0.30,0.60,0.26,0.56,5.7,5.7,5.5,11.1,0.29,0.28,0.56,0.29,0.56,Matches
Lucas Vázquez\fd51b456,es ESP,MFFW,26,51,27,2789,31.0,8,10,7,1,1,4,0,0.26,0.33,0.60,0.23,0.57,4.1,4.1,6.0,10.1,0.22,0.32,0.54,0.22,0.54,Matches
Gareth Bale\a58bb1e1,wls WAL,FWMF,28,37,26,2338,26.0,20,6,18,2,2,7,0,0.77,0.24,1.04,0.69,0.96,10.7,9.9,5.3,15.2,0.54,0.26,0.80,0.50,0.76,Matches
Mateo Kovačić\79c0821a,hr CRO,MF,23,35,20,1757,19.5,0,2,0,0,0,5,0,0.00,0.11,0.11,0.00,0.11,0.3,0.3,1.0,1.3,0.03,0.09,0.12,0.03,0.12,Matches
Theo Hernández\d4c9725f,fr FRA,DF,19,23,17,1650,18.3,0,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,0.4,0.4,0.7,1.1,0.04,0.07,0.10,0.04,0.10,Matches
Kiko Casilla\58bc7d18,es ESP,GK,30,17,17,1530,17.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Achraf Hakimi\e42d61c7,ma MAR,DF,18,16,13,1225,13.6,2,1,2,0,0,0,0,0.15,0.07,0.22,0.15,0.22,0.2,0.2,0.3,0.6,0.03,0.04,0.07,0.03,0.07,Matches
Marcos Llorente\02c15616,es ESP,MF,22,20,11,1067,11.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.04,0.03,0.07,0.04,0.07,Matches
Jesús Vallejo\c2111b45,es ESP,DF,20,12,12,1002,11.1,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Borja Mayoral\64e8ed6d,es ESP,FWMF,20,24,9,936,10.4,7,2,7,0,0,0,0,0.67,0.19,0.87,0.67,0.87,3.3,3.3,0.2,3.5,0.86,0.05,0.91,0.86,0.91,Matches
Dani Ceballos\c0617e2b,es ESP,MFFW,20,22,9,903,10.0,2,0,2,0,0,0,0,0.20,0.00,0.20,0.20,0.20,0.5,0.5,0.4,0.8,0.10,0.08,0.18,0.10,0.18,Matches
Álvaro Tejero\868ce848,es ESP,DF,21,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Luca Zidane\c818c4d9,fr FRA,GK,19,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Óscar Rodríguez Arnaiz\19709006,es ESP,MF,19,1,1,74,0.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Franchu Feuillassier\615667bb,ar ARG,MF,19,2,1,71,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Luismi Quezada\53440b3c,do DOM,DF,21,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Jaime Seoane\a62b4888,es ESP,MF,20,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Moha\97ceacc3,es ESP,GK,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Manu Hernando\5920c7c7,es ESP,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Cristo González\896b5df2,es ESP,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
