,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Keylor Navas\ecada4fc,cr CRC,GK,30,42,42,3780,42.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Casemiro\4d224fe8,br BRA,MF,25,46,43,3763,41.8,7,3,7,0,0,12,0,0.17,0.07,0.25,0.17,0.25,3.2,3.2,2.1,5.3,0.11,0.07,0.18,0.11,0.18,Matches
Sergio Ramos\08511d65,es ESP,DF,31,41,41,3639,40.4,5,1,3,2,3,14,2,0.12,0.03,0.16,0.07,0.10,6.0,3.7,1.7,5.3,0.23,0.07,0.30,0.14,0.21,Matches
Raphaël Varane\9f8e9423,fr FRA,DF,24,42,42,3620,40.2,0,2,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,0.9,0.9,0.5,1.4,0.03,0.02,0.05,0.03,0.05,Matches
Marcelo\603116a7,br BRA,DF,29,42,40,3488,38.8,5,9,5,0,0,4,1,0.13,0.24,0.38,0.13,0.38,1.5,1.5,6.5,8.0,0.06,0.26,0.32,0.06,0.32,Matches
Cristiano Ronaldo\dea698d9,pt POR,FW,32,42,40,3487,38.7,42,7,35,7,8,5,1,1.08,0.18,1.25,0.90,1.07,23.8,20.6,4.5,25.1,0.94,0.18,1.11,0.81,0.99,Matches
Toni Kroos\6ce1f46f,de GER,MF,27,42,39,3472,38.6,5,8,5,0,0,4,0,0.13,0.22,0.35,0.13,0.35,2.6,2.6,4.6,7.3,0.10,0.19,0.29,0.10,0.29,Matches
Dani Carvajal\4958bfb2,es ESP,DF,25,40,39,3384,37.6,0,7,0,0,0,17,1,0.00,0.20,0.20,0.00,0.20,0.8,0.8,3.0,3.7,0.03,0.12,0.15,0.03,0.15,Matches
Nacho\2946f9a1,es ESP,DF,27,41,33,3195,35.5,4,0,4,0,0,8,0,0.11,0.00,0.11,0.11,0.11,1.3,1.3,0.3,1.6,0.06,0.01,0.07,0.06,0.07,Matches
Luka Modrić\6025fab1,hr CRO,MF,31,41,36,3154,35.0,2,7,2,0,0,5,0,0.06,0.21,0.26,0.06,0.26,2.2,2.2,4.5,6.8,0.10,0.21,0.31,0.10,0.31,Matches
Karim Benzema\70d74ece,fr FRA,FW,29,45,37,3069,34.1,12,10,10,2,2,0,0,0.35,0.31,0.65,0.29,0.59,10.9,9.4,5.6,15.0,0.46,0.23,0.69,0.39,0.63,Matches
