,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Karim Benzema\70d74ece,fr FRA,FW,30,51,50,4109,45.7,30,9,27,3,3,1,0,0.66,0.20,0.85,0.59,0.79,17.8,15.5,6.8,22.3,0.45,0.17,0.63,0.39,0.57,Matches
Raphaël Varane\9f8e9423,fr FRA,DF,25,41,40,3594,39.9,2,0,2,0,0,1,1,0.05,0.00,0.05,0.05,0.05,2.4,2.4,0.2,2.6,0.07,0.01,0.08,0.07,0.08,Matches
Sergio Ramos\08511d65,es ESP,DF,32,40,40,3479,38.7,10,1,2,8,8,13,1,0.26,0.03,0.28,0.05,0.08,7.3,3.5,0.8,4.3,0.23,0.03,0.25,0.11,0.13,Matches
Luka Modrić\6025fab1,hr CRO,MF,32,44,39,3380,37.6,3,7,3,0,0,8,0,0.08,0.19,0.27,0.08,0.27,3.6,3.6,4.3,7.9,0.10,0.13,0.23,0.10,0.23,Matches
Toni Kroos\6ce1f46f,de GER,MF,28,41,37,3265,36.3,1,5,1,0,0,3,0,0.03,0.14,0.17,0.03,0.17,1.6,1.6,6.1,7.7,0.05,0.19,0.24,0.05,0.24,Matches
Casemiro\4d224fe8,br BRA,MF,26,41,38,3230,35.9,4,0,4,0,0,9,1,0.11,0.00,0.11,0.11,0.11,2.1,2.1,0.7,2.8,0.07,0.02,0.09,0.07,0.09,Matches
Thibaut Courtois\1840e36d,be BEL,GK,26,33,33,2970,33.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Matches
Dani Carvajal\4958bfb2,es ESP,DF,26,35,33,2961,32.9,1,5,1,0,0,12,0,0.03,0.15,0.18,0.03,0.18,0.6,0.6,4.4,5.1,0.02,0.16,0.18,0.02,0.18,Matches
Marcelo\603116a7,br BRA,DF,30,32,30,2676,29.7,3,4,3,0,0,8,0,0.10,0.13,0.24,0.10,0.24,2.0,2.0,3.9,5.9,0.08,0.16,0.24,0.08,0.24,Matches
Lucas Vázquez\fd51b456,es ESP,FW,27,45,27,2508,27.9,5,4,5,0,0,9,1,0.18,0.14,0.32,0.18,0.32,3.5,3.5,4.8,8.3,0.17,0.23,0.39,0.17,0.39,Matches
Nacho\2946f9a1,es ESP,DF,28,30,27,2490,27.7,0,1,0,0,0,12,2,0.00,0.04,0.04,0.00,0.04,0.4,0.4,0.5,0.9,0.02,0.02,0.04,0.02,0.04,Matches
