,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Gareth Bale\a58bb1e1,wls WAL,FW,29,40,27,2466,27.4,11,6,10,1,1,4,0,0.40,0.22,0.62,0.36,0.58,11.7,11.0,3.1,14.0,0.46,0.12,0.59,0.43,0.56,Matches
Marco Asensio\45af8a54,es ESP,FW,22,43,24,2363,26.3,6,5,6,0,0,4,0,0.23,0.19,0.42,0.23,0.42,6.5,6.5,5.1,11.6,0.28,0.22,0.50,0.28,0.50,Matches
Keylor Navas\ecada4fc,cr CRC,GK,31,21,21,1920,21.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Dani Ceballos\c0617e2b,es ESP,MFFW,21,33,19,1908,21.2,3,2,3,0,0,5,0,0.14,0.09,0.24,0.14,0.24,2.7,2.7,1.9,4.6,0.17,0.12,0.29,0.17,0.29,Matches
Álvaro Odriozola\1d1691ad,es ESP,DF,22,22,21,1856,20.6,1,6,1,0,0,2,0,0.05,0.29,0.34,0.05,0.34,0.3,0.3,2.7,3.1,0.02,0.18,0.20,0.02,0.20,Matches
Sergio Reguilón\3353737a,es ESP,DF,21,22,21,1794,19.9,0,3,0,0,0,4,0,0.00,0.15,0.15,0.00,0.15,0.3,0.3,1.8,2.2,0.02,0.11,0.13,0.02,0.13,Matches
Vinicius Júnior\7111d552,br BRA,FW,18,30,20,1735,19.3,4,8,4,0,0,1,0,0.21,0.41,0.62,0.21,0.62,3.5,3.5,2.0,5.5,0.29,0.17,0.45,0.29,0.45,Matches
Isco\a0b4bb3e,es ESP,MFFW,26,36,17,1723,19.1,6,2,6,0,0,4,0,0.31,0.10,0.42,0.31,0.42,5.1,5.1,3.2,8.2,0.32,0.20,0.51,0.32,0.51,Matches
Federico Valverde\0959c2a2,uy URU,MF,20,25,10,1129,12.5,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.8,1.0,0.03,0.08,0.11,0.03,0.11,Matches
Marcos Llorente\02c15616,es ESP,MF,23,14,12,1006,11.2,1,0,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,0.2,0.2,0.3,0.5,0.03,0.04,0.07,0.03,0.07,Matches
Mariano\5c4dc0ff,do DOM,FW,24,19,4,615,6.8,4,0,4,0,0,2,0,0.59,0.00,0.59,0.59,0.59,3.1,3.1,0.9,4.1,0.54,0.16,0.70,0.54,0.70,Matches
Jesús Vallejo\c2111b45,es ESP,DFMF,21,7,6,491,5.5,1,0,1,0,0,1,1,0.18,0.00,0.18,0.18,0.18,0.8,0.8,0.0,0.8,0.17,0.00,0.17,0.17,0.17,Matches
Brahim Díaz\407feb71,es ESP,FW,18,11,5,394,4.4,1,1,1,0,0,0,0,0.23,0.23,0.46,0.23,0.46,0.6,0.6,1.2,1.7,0.13,0.28,0.41,0.13,0.41,Matches
Javi Sánchez\60359288,es ESP,DF,21,5,3,348,3.9,1,0,1,0,0,2,0,0.26,0.00,0.26,0.26,0.26,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Luca Zidane\c818c4d9,fr FRA,GK,20,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Cristo González\896b5df2,es ESP,FW,20,4,0,84,0.9,1,0,1,0,0,0,0,1.07,0.00,1.07,1.07,1.07,0.0,0.0,0.0,0.1,0.09,0.03,0.12,0.09,0.12,Matches
Francisco Garcia\7226539b,es ESP,DF,18,1,0,45,0.5,0,1,0,0,0,0,0,0.00,2.00,2.00,0.00,2.00,,,,,,,,,,Matches
Borja Mayoral\64e8ed6d,es ESP,FW,21,1,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Álvaro Fidalgo\c705cdc4,es ESP,MF,21,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Kiko Casilla\58bc7d18,es ESP,GK,31,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Andriy Lunin\3061e1ec,ua UKR,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Adrián de la Fuente\5932c94a,es ESP,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Franchu Feuillassier\615667bb,ar ARG,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jaime Seoane\a62b4888,es ESP,MF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jaume Grau\fc3d2006,es ESP,MF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
