,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Ángel Di María\19cda00b,ar ARG,FWMF,31,41,37,3238,36.0,13,22,12,1,2,7,0,0.36,0.61,0.97,0.33,0.95,11.8,10.3,17.7,28.0,0.39,0.58,0.97,0.34,0.92,Matches
Keylor Navas\ecada4fc,cr CRC,GK,32,35,35,3168,35.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Marquinhos\d5f2f82b,br BRA,MFDF,25,37,33,3042,33.8,6,1,6,0,0,4,0,0.18,0.03,0.21,0.18,0.21,3.1,3.1,0.8,3.9,0.11,0.03,0.14,0.11,0.14,Matches
Thiago Silva\86e7deaf,br BRA,DF,34,35,33,2722,30.2,1,1,1,0,0,4,0,0.03,0.03,0.07,0.03,0.07,0.5,0.5,0.3,0.8,0.02,0.01,0.03,0.02,0.03,Matches
Kylian Mbappé\42fd9c7f,fr FRA,FW,20,37,30,2716,30.2,30,14,30,0,0,4,0,0.99,0.46,1.46,0.99,1.46,24.0,24.0,12.6,36.6,1.00,0.52,1.52,1.00,1.52,Matches
Idrissa Gana Gueye\72c812f3,sn SEN,MF,29,34,31,2635,29.3,1,3,1,0,0,3,0,0.03,0.10,0.14,0.03,0.14,1.3,1.3,3.2,4.5,0.05,0.13,0.18,0.05,0.18,Matches
Marco Verratti\1467af0d,it ITA,MF,26,37,26,2566,28.5,0,6,0,0,0,12,0,0.00,0.21,0.21,0.00,0.21,0.2,0.2,4.4,4.6,0.01,0.19,0.20,0.01,0.20,Matches
Juan Bernat\433dc9a2,es ESP,DF,26,32,28,2481,27.6,2,6,2,0,0,9,0,0.07,0.22,0.29,0.07,0.29,1.0,1.0,3.7,4.7,0.04,0.15,0.19,0.04,0.19,Matches
Pablo Sarabia\9744ff80,es ESP,FWMF,27,40,26,2411,26.8,14,7,14,0,0,2,0,0.52,0.26,0.78,0.52,0.78,4.7,4.7,4.7,9.5,0.27,0.27,0.54,0.27,0.54,Matches
Neymar\69384e5d,br BRA,FWMF,27,27,26,2383,26.5,19,11,14,5,6,8,1,0.72,0.42,1.13,0.53,0.94,16.9,13.1,8.6,21.7,0.80,0.41,1.21,0.62,1.03,Matches
Presnel Kimpembe\aef6e670,fr FRA,DF,23,28,26,2335,25.9,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.4,0.01,0.00,0.02,0.01,0.02,Matches
Mauro Icardi\43b78598,ar ARG,FW,26,34,26,2177,24.2,20,4,20,0,0,1,0,0.83,0.17,0.99,0.83,0.99,13.9,13.9,2.7,16.5,0.72,0.14,0.86,0.72,0.86,Matches
Thomas Meunier\e162b013,be BEL,DF,27,27,24,2133,23.7,1,2,1,0,0,8,0,0.04,0.08,0.13,0.04,0.13,1.1,1.1,2.4,3.5,0.06,0.13,0.19,0.06,0.19,Matches
Leandro Paredes\dff153a4,ar ARG,MF,25,33,18,1757,19.5,1,0,1,0,0,8,0,0.05,0.00,0.05,0.05,0.05,0.5,0.5,0.7,1.2,0.04,0.05,0.09,0.04,0.09,Matches
Abdou Diallo\fc62f087,sn SEN,DF,23,23,18,1589,17.7,0,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,0.8,0.8,0.1,0.9,0.06,0.01,0.06,0.06,0.06,Matches
Layvin Kurzawa\41e7ef1c,fr FRA,DF,26,25,17,1568,17.4,1,1,1,0,0,7,0,0.06,0.06,0.11,0.06,0.11,0.8,0.8,0.2,1.0,0.07,0.02,0.08,0.07,0.08,Matches
Thilo Kehrer\51dbeea9,de GER,DF,22,21,17,1556,17.3,1,0,1,0,0,0,0,0.06,0.00,0.06,0.06,0.06,0.3,0.3,0.3,0.7,0.03,0.04,0.07,0.03,0.07,Matches
Ander Herrera\436a9dd0,es ESP,MF,29,22,14,1280,14.2,1,1,1,0,0,3,0,0.07,0.07,0.14,0.07,0.14,0.2,0.2,1.6,1.8,0.02,0.16,0.19,0.02,0.19,Matches
Julian Draxler\1a992676,de GER,MFFW,25,22,12,1171,13.0,0,6,0,0,0,6,0,0.00,0.46,0.46,0.00,0.46,1.6,1.6,2.0,3.6,0.19,0.24,0.43,0.19,0.43,Matches
Colin Dagba\29c02c9f,fr FRA,DF,20,16,12,1170,13.0,0,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,0.1,0.1,0.6,0.7,0.01,0.08,0.09,0.01,0.09,Matches
