,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Edinson Cavani\527f063d,uy URU,FW,32,22,12,1100,12.2,7,2,5,2,2,2,0,0.57,0.16,0.74,0.41,0.57,8.8,7.3,1.5,8.8,1.07,0.18,1.26,0.89,1.07,Matches
Nianzou Kouassi\5853ac44,fr FRA,MF,17,13,9,907,10.1,3,1,3,0,0,2,0,0.30,0.10,0.40,0.30,0.40,0.4,0.4,0.3,0.7,0.07,0.04,0.11,0.07,0.11,Matches
Sergio Rico\5f0241b2,es ESP,GK,25,10,9,822,9.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Eric Maxim Choupo-Moting\0e6bc38c,cm CMR,FW,30,20,8,807,9.0,6,1,6,0,0,1,0,0.67,0.11,0.78,0.67,0.78,3.2,3.2,1.3,4.5,0.50,0.20,0.70,0.50,0.70,Matches
Mitchel Bakker\a8567629,nl NED,DF,19,5,4,409,4.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Alphonse Areola\2f965a72,fr FRA,GK,26,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Adil Aouchiche\b94b8be1,fr FRA,MF,17,3,2,162,1.8,1,0,1,0,0,0,0,0.56,0.00,0.56,0.56,0.56,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Marcin Bułka\db87a2c4,pl POL,GK,19,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Loïc Mbe Soh\8f534f8e,fr FRA,DF,18,1,1,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Arthur Zagre\3225654e,fr FRA,MF,17,1,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Jesé\4a537185,es ESP,FW,26,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Arnaud Kalimuendo\bf4c41f9,fr FRA,FW,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kays Ruiz\90a9cc01,ma MAR,MF,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Garissone Innocent\3e6f30a9,ht HAI,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kevin Trapp\ce17b5eb,de GER,GK,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
