,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Virgil van Dijk\e06683ca,nl NED,DF,28,49,49,4500,50.0,5,2,5,0,0,1,0,0.10,0.04,0.14,0.10,0.14,3.2,3.2,1.6,4.8,0.07,0.04,0.10,0.07,0.10,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,25,47,44,4060,45.1,3,12,3,0,0,4,0,0.07,0.27,0.33,0.07,0.33,2.8,2.8,7.9,10.8,0.07,0.19,0.26,0.07,0.26,Matches
Mohamed Salah\e342ad68,eg EGY,FW,27,46,43,3869,43.0,23,12,20,3,3,1,0,0.54,0.28,0.81,0.47,0.74,24.4,22.2,8.6,30.8,0.61,0.22,0.83,0.55,0.77,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,20,47,42,3854,42.8,4,14,4,0,0,7,0,0.09,0.33,0.42,0.09,0.42,3.0,3.0,11.5,14.5,0.07,0.28,0.35,0.07,0.35,Matches
Roberto Firmino\4c370d81,br BRA,FWMF,27,50,42,3795,42.2,10,12,10,0,0,0,0,0.24,0.28,0.52,0.24,0.52,15.1,15.1,8.4,23.5,0.38,0.21,0.58,0.38,0.58,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,28,47,41,3664,40.7,6,0,6,0,0,0,0,0.15,0.00,0.15,0.15,0.15,4.1,4.1,2.0,6.1,0.10,0.05,0.16,0.10,0.16,Matches
Sadio Mané\c691bfe2,sn SEN,FW,27,45,40,3570,39.7,22,9,22,0,0,6,0,0.55,0.23,0.78,0.55,0.78,16.7,16.7,8.6,25.3,0.44,0.23,0.67,0.44,0.67,Matches
Joe Gomez\7a11550b,eng ENG,DF,22,41,33,3146,35.0,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.01,0.01,0.00,0.01,Matches
Alisson\7a2e46a8,br BRA,GK,26,35,35,3113,34.6,0,1,0,0,0,0,1,0.00,0.03,0.03,0.00,0.03,0.0,0.0,0.5,0.5,0.00,0.02,0.02,0.00,0.02,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,29,38,34,2947,32.7,4,5,4,0,0,3,0,0.12,0.15,0.27,0.12,0.27,1.6,1.6,3.4,5.1,0.05,0.11,0.17,0.05,0.17,Matches
Fabinho\7f3b388c,br BRA,MF,25,39,32,2928,32.5,2,4,2,0,0,8,0,0.06,0.12,0.18,0.06,0.18,0.5,0.5,2.1,2.6,0.02,0.07,0.09,0.02,0.09,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,25,41,23,2055,22.8,8,2,8,0,0,1,0,0.35,0.09,0.44,0.35,0.44,3.6,3.6,1.6,5.1,0.18,0.08,0.26,0.18,0.26,Matches
James Milner\2f90f6b8,eng ENG,MFDF,33,35,17,1656,18.4,4,4,1,3,3,6,0,0.22,0.22,0.43,0.05,0.27,2.3,0.8,1.2,2.0,0.15,0.08,0.23,0.05,0.13,Matches
Adrián\f76e6b4e,es ESP,GK,32,18,16,1565,17.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Divock Origi\43a166b4,be BEL,FW,24,40,13,1372,15.2,6,2,6,0,0,1,0,0.39,0.13,0.52,0.39,0.52,2.5,2.5,0.3,2.8,0.25,0.03,0.28,0.25,0.28,Matches
Naby Keïta\f25c8e3a,gn GUI,MFFW,24,25,14,1235,13.7,3,3,3,0,0,1,0,0.22,0.22,0.44,0.22,0.44,2.4,2.4,2.8,5.2,0.20,0.24,0.44,0.20,0.44,Matches
Dejan Lovren\1a2935f6,hr CRO,DF,30,15,14,1189,13.2,1,1,1,0,0,1,0,0.08,0.08,0.15,0.08,0.15,0.3,0.3,0.7,1.1,0.03,0.07,0.10,0.03,0.10,Matches
Joël Matip\b217ef29,cm CMR,DF,27,13,11,1045,11.6,2,0,2,0,0,0,0,0.17,0.00,0.17,0.17,0.17,0.3,0.3,0.0,0.3,0.04,0.00,0.04,0.04,0.04,Matches
Adam Lallana\99813635,eng ENG,FWMF,31,20,7,803,8.9,1,2,1,0,0,2,0,0.11,0.22,0.34,0.11,0.34,1.1,1.1,0.7,1.7,0.25,0.16,0.41,0.25,0.41,Matches
Neco Williams\dd323728,wls WAL,DF,18,11,8,710,7.9,0,1,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,0.3,0.3,0.1,0.4,0.10,0.04,0.14,0.10,0.14,Matches
Curtis Jones\4fb9c88f,eng ENG,MF,18,12,6,621,6.9,3,1,3,0,0,0,0,0.43,0.14,0.58,0.43,0.58,0.9,0.9,0.0,0.9,0.63,0.00,0.63,0.63,0.63,Matches
Harvey Elliott\c8387671,eng ENG,FW,16,8,6,545,6.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
