,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Takumi Minamino\f833a830,jp JPN,MF,24,14,5,500,5.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.4,1.4,0.0,1.5,0.50,0.01,0.52,0.50,0.52,Matches
Pedro Chirivella\68a26d51,es ESP,MF,22,6,4,428,4.8,0,1,0,0,0,0,0,0.00,0.21,0.21,0.00,0.21,,,,,,,,,,Matches
Caoimhín Kelleher\62d7ef38,ie IRL,GK,20,4,4,390,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Sepp van den Berg\7bf9400b,nl NED,DF,17,4,3,301,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Ki-Jana Hoever\9a71e978,nl NED,DF,17,3,3,260,2.9,1,0,1,0,0,0,0,0.35,0.00,0.35,0.35,0.35,,,,,,,,,,Matches
Xherdan Shaqiri\6421ec64,ch SUI,MF,27,9,2,231,2.6,1,0,1,0,0,0,0,0.39,0.00,0.39,0.39,0.39,0.6,0.6,0.2,0.8,0.27,0.10,0.38,0.27,0.38,Matches
Rhian Brewster\30e81a88,eng ENG,FW,19,3,2,222,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Yasser Larouci\0ed063d6,dz ALG,DF,18,2,1,172,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Leighton Clarkson\d5dafedb,eng ENG,MF,17,2,1,103,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Herbie Kane\9d25f51c,eng ENG,MF,20,2,1,99,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Morgan Boyes\1cda07f1,wls WAL,DF,18,2,1,91,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Tony Gallacher\94177773,sct SCO,DF,20,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Thomas Hill\239df013,eng ENG,FW,16,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Adam Lewis\accd672a,eng ENG,DF,19,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Jake Cain\a33ce8e2,eng ENG,MF,17,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Nathaniel Phillips\515ebe8d,eng ENG,DF,22,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Liam Millar\983515f8,ca CAN,FW,19,1,1,81,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Isaac Christie-Davies\aa62bd5a,wls WAL,MF,21,1,1,76,0.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Luis Longstaff\403a4960,eng ENG,FW,18,1,1,64,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Jack Bearne\3735641b,eng ENG,MF,17,1,0,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Joe Hardy\86095ff3,eng ENG,FW,20,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
James Norris\788cd1c9,eng ENG,DF,16,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Elijah Dixon-Bonner\931bf61a,eng ENG,MF,18,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Thomas Clayton\e8f15b6d,sct SCO,DFMF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ben Winterbottom\ad6fb9eb,eng ENG,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Layton Stewart\8aff6bc7,eng ENG,FW,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Billy Koumetio\866c67e9,fr FRA,DF,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Simon Mignolet\d436eb94,be BEL,GK,31,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Andy Lonergan\165cf989,ie IRL,GK,35,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
