,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Kylian Mbappé\42fd9c7f,fr FRA,FW,22,46,44,3931,43.7,39,22,34,5,6,11,0,0.89,0.50,1.40,0.78,1.28,28.3,24.5,14.7,39.2,0.69,0.36,1.05,0.60,0.96,Matches
Marquinhos\d5f2f82b,br BRA,DF,27,40,40,3581,39.8,5,1,5,0,0,5,0,0.13,0.03,0.15,0.13,0.15,3.4,3.4,0.8,4.2,0.09,0.02,0.11,0.09,0.11,Matches
Presnel Kimpembe\aef6e670,fr FRA,DF,25,41,40,3570,39.7,2,1,2,0,0,10,0,0.05,0.03,0.08,0.05,0.08,0.9,0.9,0.2,1.0,0.02,0.01,0.03,0.02,0.03,Matches
Achraf Hakimi\e42d61c7,ma MAR,DF,22,41,37,3286,36.5,4,6,4,0,0,5,1,0.11,0.16,0.27,0.11,0.27,2.1,2.1,5.4,7.5,0.06,0.15,0.21,0.06,0.21,Matches
Lionel Messi\d70ce98e,ar ARG,FWMF,34,34,32,2903,32.3,11,14,9,2,3,1,0,0.34,0.43,0.78,0.28,0.71,14.7,12.4,10.1,22.5,0.47,0.33,0.80,0.40,0.73,Matches
Danilo Pereira\8fd9996f,pt POR,MF,29,37,27,2655,29.5,5,0,5,0,0,6,0,0.17,0.00,0.17,0.17,0.17,3.3,3.3,0.3,3.6,0.12,0.01,0.14,0.12,0.14,Matches
Marco Verratti\1467af0d,it ITA,MF,28,32,31,2640,29.3,2,2,2,0,0,14,0,0.07,0.07,0.14,0.07,0.14,0.6,0.6,3.3,3.9,0.02,0.12,0.15,0.02,0.15,Matches
Nuno Mendes\f20e4cc9,pt POR,DF,19,37,27,2407,26.7,0,2,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,0.6,0.6,2.7,3.3,0.02,0.11,0.13,0.02,0.13,Matches
Neymar\69384e5d,br BRA,FWMF,29,28,27,2320,25.8,13,8,10,3,4,11,0,0.50,0.31,0.81,0.39,0.70,12.4,9.4,8.7,18.0,0.48,0.34,0.82,0.36,0.70,Matches
Keylor Navas\ecada4fc,cr CRC,GK,34,26,26,2306,25.6,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Gianluigi Donnarumma\08f5afaa,it ITA,GK,22,24,24,2190,24.3,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
