,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Idrissa Gana Gueye\72c812f3,sn SEN,MF,31,33,23,2040,22.7,4,1,4,0,0,5,0,0.18,0.04,0.22,0.18,0.22,2.2,2.2,1.9,4.1,0.10,0.08,0.18,0.10,0.18,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,30,38,22,1996,22.2,3,3,3,0,0,2,0,0.14,0.14,0.27,0.14,0.27,4.1,4.1,2.6,6.7,0.19,0.12,0.32,0.19,0.32,Matches
Thilo Kehrer\51dbeea9,de GER,DF,24,34,20,1946,21.6,2,0,2,0,0,3,0,0.09,0.00,0.09,0.09,0.09,1.0,1.0,0.0,1.1,0.06,0.00,0.06,0.06,0.06,Matches
Ángel Di María\19cda00b,ar ARG,FW,33,31,22,1904,21.2,5,8,5,0,0,2,0,0.24,0.38,0.61,0.24,0.61,6.4,6.4,8.2,14.6,0.30,0.39,0.69,0.30,0.69,Matches
Ander Herrera\436a9dd0,es ESP,MF,31,28,19,1633,18.1,4,2,4,0,0,4,0,0.22,0.11,0.33,0.22,0.33,1.3,1.3,2.5,3.8,0.09,0.16,0.24,0.09,0.24,Matches
Mauro Icardi\43b78598,ar ARG,FW,28,30,13,1319,14.7,5,0,4,1,1,1,0,0.34,0.00,0.34,0.27,0.27,5.5,5.5,0.7,6.2,0.46,0.06,0.52,0.46,0.52,Matches
Leandro Paredes\dff153a4,ar ARG,MF,27,22,15,1273,14.1,1,2,1,0,0,6,0,0.07,0.14,0.21,0.07,0.21,0.3,0.3,0.2,0.5,0.02,0.02,0.04,0.02,0.04,Matches
Abdou Diallo\fc62f087,sn SEN,DF,25,16,14,1221,13.6,0,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,0.2,0.2,0.6,0.7,0.02,0.05,0.06,0.02,0.06,Matches
Juan Bernat\433dc9a2,es ESP,DF,28,16,12,999,11.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.8,0.02,0.06,0.07,0.02,0.07,Matches
Julian Draxler\1a992676,de GER,FWMF,27,24,8,901,10.0,2,1,2,0,0,1,0,0.20,0.10,0.30,0.20,0.30,1.8,1.8,1.6,3.4,0.24,0.21,0.45,0.24,0.45,Matches
Sergio Ramos\08511d65,es ESP,DF,35,13,9,846,9.4,2,0,2,0,0,3,1,0.21,0.00,0.21,0.21,0.21,1.6,1.6,0.0,1.6,0.18,0.00,0.18,0.18,0.18,Matches
Junior Dina Ebimbe\95bb6ddc,fr FRA,MF,20,14,6,485,5.4,0,1,0,0,0,2,0,0.00,0.19,0.19,0.00,0.19,0.2,0.2,0.1,0.3,0.07,0.02,0.08,0.07,0.08,Matches
Colin Dagba\29c02c9f,fr FRA,DF,22,6,4,379,4.2,0,1,0,0,0,2,0,0.00,0.24,0.24,0.00,0.24,0.0,0.0,0.1,0.1,0.00,0.07,0.07,0.00,0.07,Matches
Xavi Simons\da4d670f,nl NED,FWMF,18,9,3,353,3.9,0,1,0,0,0,1,0,0.00,0.25,0.25,0.00,0.25,0.3,0.3,0.1,0.4,0.21,0.07,0.29,0.21,0.29,Matches
Rafinha\0c2ac3cb,br BRA,FWMF,28,5,3,220,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.16,0.05,0.21,0.16,0.21,Matches
Edouard Michut\fe6c1add,fr FRA,MF,18,7,1,187,2.1,0,1,0,0,0,0,1,0.00,0.48,0.48,0.00,0.48,0.0,0.0,0.1,0.1,0.00,0.15,0.15,0.00,0.15,Matches
Arnaud Kalimuendo\bf4c41f9,fr FRA,FW,19,3,1,88,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Ismaël Gharbi\5b3cfa12,tn TUN,FW,17,4,0,48,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
El Chadaille Bitshiabu\2180c761,fr FRA,DF,16,3,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Sergio Rico\5f0241b2,es ESP,GK,27,1,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Pablo Sarabia\9744ff80,es ESP,FW,29,2,0,22,0.2,1,0,1,0,0,1,0,4.09,0.00,4.09,4.09,4.09,0.8,0.8,0.0,0.8,3.27,0.00,3.27,3.27,3.27,Matches
Sekou Yansané\bce37ac0,gn GUI,FW,18,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Nathan Bitu Mazala\0f697e02,fr FRA,DF,18,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Layvin Kurzawa\41e7ef1c,fr FRA,DF,28,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Alexandre Letellier\96fcd380,fr FRA,GK,30,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Djeidi Gassama\bbdb2789,fr FRA,FW,17,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Denis Franchi\aab362e6,it ITA,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kenny Nagera\833ce5f0,fr FRA,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Teddy Alloh\01df0dc4,fr FRA,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
