,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Thibaut Courtois\1840e36d,be BEL,GK,28,51,51,4590,51.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Casemiro\4d224fe8,br BRA,MF,28,46,43,3939,43.8,7,5,7,0,0,15,1,0.16,0.11,0.27,0.16,0.27,5.6,5.6,4.0,9.6,0.14,0.10,0.23,0.14,0.23,Matches
Karim Benzema\70d74ece,fr FRA,FW,32,46,43,3875,43.1,30,9,29,1,1,2,0,0.70,0.21,0.91,0.67,0.88,22.7,22.0,8.1,30.1,0.55,0.20,0.74,0.53,0.72,Matches
Luka Modrić\6025fab1,hr CRO,MF,34,48,43,3711,41.2,6,6,6,0,0,4,0,0.15,0.15,0.29,0.15,0.29,3.5,3.5,5.7,9.2,0.09,0.14,0.23,0.09,0.23,Matches
Raphaël Varane\9f8e9423,fr FRA,DF,27,41,41,3570,39.7,2,0,2,0,0,4,0,0.05,0.00,0.05,0.05,0.05,2.3,2.3,0.1,2.4,0.06,0.00,0.06,0.06,0.06,Matches
Ferland Mendy\3cefcaef,fr FRA,DF,25,38,36,3260,36.2,2,0,2,0,0,5,0,0.06,0.00,0.06,0.06,0.06,0.8,0.8,2.8,3.7,0.02,0.08,0.10,0.02,0.10,Matches
Toni Kroos\6ce1f46f,de GER,MF,30,42,36,3189,35.4,3,12,3,0,0,10,0,0.08,0.34,0.42,0.08,0.42,2.6,2.6,8.6,11.2,0.08,0.25,0.33,0.08,0.33,Matches
Lucas Vázquez\fd51b456,es ESP,DF,29,34,31,2778,30.9,2,7,2,0,0,5,0,0.06,0.23,0.29,0.06,0.29,3.1,3.1,6.3,9.4,0.11,0.22,0.33,0.11,0.33,Matches
Nacho\2946f9a1,es ESP,DF,30,33,30,2765,30.7,1,0,1,0,0,10,0,0.03,0.00,0.03,0.03,0.03,1.8,1.8,0.4,2.2,0.06,0.01,0.07,0.06,0.07,Matches
