,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Vinicius Júnior\7111d552,br BRA,FWMF,20,49,31,2717,30.2,6,4,6,0,0,4,0,0.20,0.13,0.33,0.20,0.33,9.4,9.4,3.5,12.9,0.33,0.12,0.45,0.33,0.45,Matches
Marco Asensio\45af8a54,es ESP,FW,24,48,29,2608,29.0,7,2,7,0,0,2,0,0.24,0.07,0.31,0.24,0.31,7.3,7.3,3.2,10.5,0.27,0.11,0.38,0.27,0.38,Matches
Federico Valverde\0959c2a2,uy URU,MF,22,33,21,1964,21.8,3,1,3,0,0,3,0,0.14,0.05,0.18,0.14,0.18,2.2,2.2,4.0,6.2,0.11,0.20,0.30,0.11,0.30,Matches
Sergio Ramos\08511d65,es ESP,DF,34,21,21,1788,19.9,4,1,1,3,3,4,0,0.20,0.05,0.25,0.05,0.10,4.8,2.5,0.8,3.3,0.25,0.04,0.30,0.13,0.17,Matches
Éder Militão\2784f898,br BRA,DFMF,22,21,19,1730,19.2,2,1,2,0,0,4,1,0.10,0.05,0.16,0.10,0.16,1.1,1.1,0.3,1.5,0.06,0.02,0.08,0.06,0.08,Matches
Marcelo\603116a7,br BRA,DFMF,32,19,15,1336,14.8,0,4,0,0,0,4,0,0.00,0.27,0.27,0.00,0.27,0.5,0.5,1.3,1.7,0.03,0.10,0.13,0.03,0.13,Matches
Rodrygo\8f5e92a6,br BRA,FW,19,33,13,1306,14.5,2,7,2,0,0,0,0,0.14,0.48,0.62,0.14,0.62,3.1,3.1,3.4,6.6,0.22,0.24,0.45,0.22,0.45,Matches
Dani Carvajal\4958bfb2,es ESP,DF,28,15,13,1116,12.4,0,2,0,0,0,5,0,0.00,0.16,0.16,0.00,0.16,0.6,0.6,0.9,1.4,0.05,0.07,0.12,0.05,0.12,Matches
Isco\a0b4bb3e,es ESP,FWMF,28,29,10,1103,12.3,0,2,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,2.0,2.0,1.8,3.7,0.17,0.16,0.33,0.17,0.33,Matches
Álvaro Odriozola\1d1691ad,es ESP,DF,24,16,10,959,10.7,2,0,2,0,0,2,0,0.19,0.00,0.19,0.19,0.19,0.7,0.7,0.6,1.3,0.07,0.06,0.14,0.07,0.14,Matches
Eden Hazard\a39bb753,be BEL,FW,29,21,11,895,9.9,4,2,3,1,1,0,0,0.40,0.20,0.60,0.30,0.50,2.6,1.8,0.9,2.7,0.29,0.10,0.39,0.20,0.30,Matches
Mariano\5c4dc0ff,do DOM,FW,26,22,7,690,7.7,1,0,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,1.6,1.6,0.2,1.8,0.23,0.02,0.26,0.23,0.26,Matches
Martin Ødegaard\79300479,no NOR,FWMF,21,9,5,367,4.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.7,0.9,0.05,0.18,0.23,0.05,0.23,Matches
Miguel Gutiérrez\7e98cff1,es ESP,DF,19,6,3,316,3.5,0,1,0,0,0,0,0,0.00,0.28,0.28,0.00,0.28,0.0,0.0,0.2,0.2,0.00,0.06,0.06,0.00,0.06,Matches
Blanco\506daeac,es ESP,MF,20,4,2,220,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.02,0.03,0.04,0.02,0.04,Matches
Víctor Chust\ec1a731e,es ESP,DF,20,3,2,215,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Luka Jović\4d8cd038,rs SRB,FW,22,5,3,207,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.1,1.4,0.53,0.06,0.59,0.53,0.59,Matches
Sergio Arribas\1e465e70,es ESP,FW,18,10,0,167,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.02,0.02,0.04,0.02,0.04,Matches
Marvin\efaefda0,es ESP,FW,20,4,2,133,1.5,0,1,0,0,0,0,0,0.00,0.68,0.68,0.00,0.68,0.2,0.2,0.2,0.4,0.11,0.13,0.24,0.11,0.24,Matches
Andriy Lunin\3061e1ec,ua UKR,GK,21,1,1,120,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Hugo Duro\37e103f8,es ESP,FW,20,3,0,70,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.23,0.07,0.30,0.23,0.30,Matches
Borja Mayoral\64e8ed6d,es ESP,FW,23,2,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Luis López\ccb491d0,es ESP,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lucas Cañizars\7e84906e,es ESP,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Óscar Aranda\4d3bdda7,es ESP,FW,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Pablo Ramon\03cb6ca0,es ESP,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Altube\e4cbb095,es ESP,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Sergio Santos\cf59e05f,es ESP,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
