Rk,Squad,Pts,Top Team Scorer
1,Paris S-G,93,Edinson Cavani - 28
2,Monaco,80,Radamel Falcao - 18
3,Lyon,78,Memphis Depay - 19
4,Marseille,77,Florian Thauvin - 22
5,Rennes,58,Benjamin Bourigeaud - 10
6,Bordeaux,55,Malcom - 12
7,Saint-Étienne,55,Rémy Cabella Robert Berić... - 7
8,Nice,54,Mario Balotelli - 18
9,Nantes,52,Emiliano Sala - 12
10,Montpellier,51,Giovanni Sio - 10
11,Dijon,48,Júlio Tavares - 12
12,Guingamp,47,Jimmy Briand - 11
13,Amiens,45,Moussa Konaté - 13
14,Angers,41,Karl Toko Ekambi - 17
15,Strasbourg,38,Stéphane Bahoken - 7
16,Caen,38,Ivan Santini - 11
17,Lille,38,Nicolas Pépé - 13
18,Toulouse,37,Max Gradel - 8
19,Troyes,33,Adama Niane - 8
20,Metz,26,Nolan Roux - 15
