Rk,Squad,Pts,Top Team Scorer
1,Liverpool,99,Mohamed Salah - 19
2,Manchester City,81,Raheem Sterling - 20
3,Manchester Utd,66,Anthony Martial Marcus Rashford - 17
4,Chelsea,66,Tammy Abraham - 15
5,Leicester City,62,Jamie Vardy - 23
6,Tottenham,59,Harry Kane - 18
7,Wolves,59,Raúl Jiménez - 17
8,Arsenal,56,Pierre-Emerick Aubameyang - 22
9,Sheffield Utd,54,Oliver McBurnie Lys Mousset - 6
10,Burnley,54,Chris Wood - 14
11,Southampton,52,Danny Ings - 22
12,Everton,49,Dominic Calvert-Lewin Richarlison - 13
13,Newcastle Utd,44,Jonjo Shelvey - 6
14,Crystal Palace,43,Jordan Ayew - 9
15,Brighton,41,Neal Maupay - 10
16,West Ham,39,Michail Antonio - 10
17,Aston Villa,35,Jack Grealish - 8
18,Bournemouth,34,Callum Wilson - 8
19,Watford,34,Troy Deeney - 10
20,Norwich City,21,Teemu Pukki - 11
