,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Kevin Trapp\ce17b5eb,de GER,GK,27,14,14,1259,14.0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Lassana Diarra\79584585,fr FRA,MF,32,15,9,712,7.9,0,1,0,0,0,4,0,0.00,0.13,0.13,0.00,0.13,0.0,0.0,0.3,0.3,0.00,0.05,0.05,0.00,0.05,Matches
Christopher Nkunku\7c56da38,fr FRA,FWMF,19,27,6,702,7.8,5,0,5,0,0,1,0,0.64,0.00,0.64,0.64,0.64,3.6,3.6,0.6,4.2,0.51,0.09,0.60,0.51,0.60,Matches
Timothy Weah\8eec784d,us USA,FW,17,3,1,122,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.9,0.40,0.24,0.64,0.40,0.64,Matches
Lucas Moura\2b622f01,br BRA,FW,24,6,0,85,0.9,1,1,1,0,0,1,0,1.06,1.06,2.12,1.06,2.12,1.2,1.2,0.8,2.0,1.38,0.95,2.33,1.38,2.33,Matches
Blaise Matuidi\c0cddebe,fr FRA,MF,30,3,0,48,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Stanley N'Soki\61590953,fr FRA,DF,18,1,0,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Gonçalo Guedes\e6bc67d7,pt POR,FW,20,2,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Yacine Adli\26777636,fr FRA,FW,17,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Kévin Rimane\7a137df4,gf GUF,DF,26,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Alec Georgen\99295490,fr FRA,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Antoine Bernede\07a821e4,fr FRA,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Rémy Descamps\477e50ce,fr FRA,GK,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Sébastien Cibois\2b9b37b2,fr FRA,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lorenzo Callegari\f5aa537a,fr FRA,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Hatem Ben Arfa\74dc806c,fr FRA,FWMF,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
