,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Edinson Cavani\527f063d,uy URU,FW,30,48,46,3946,43.8,40,9,34,6,9,4,0,0.91,0.21,1.12,0.78,0.98,23.2,19.7,4.8,24.5,0.81,0.17,0.98,0.69,0.85,Matches
Alphonse Areola\2f965a72,fr FRA,GK,24,43,43,3870,43.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Adrien Rabiot\8794e251,fr FRA,MF,22,50,43,3728,41.4,5,7,5,0,0,3,0,0.12,0.17,0.29,0.12,0.29,1.7,1.7,3.3,4.9,0.06,0.12,0.19,0.06,0.19,Matches
Marquinhos\d5f2f82b,br BRA,DF,23,41,40,3612,40.1,2,3,2,0,0,2,0,0.05,0.07,0.12,0.05,0.12,1.5,1.5,1.0,2.5,0.06,0.04,0.10,0.06,0.10,Matches
Kylian Mbappé\42fd9c7f,fr FRA,FW,18,44,40,3402,37.8,21,16,21,0,0,3,1,0.56,0.42,0.98,0.56,0.98,14.5,14.5,7.8,22.3,0.62,0.33,0.96,0.62,0.96,Matches
Thiago Silva\86e7deaf,br BRA,DF,32,39,38,3357,37.3,1,1,1,0,0,5,0,0.03,0.03,0.05,0.03,0.05,0.6,0.6,0.3,0.9,0.03,0.01,0.04,0.03,0.04,Matches
Dani Alves\c9e99e49,br BRA,DF,34,41,36,3265,36.3,5,9,5,0,0,7,1,0.14,0.25,0.39,0.14,0.39,1.4,1.4,5.6,7.0,0.06,0.25,0.30,0.06,0.30,Matches
Presnel Kimpembe\aef6e670,fr FRA,DF,21,38,36,3251,36.1,0,0,0,0,0,8,2,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.3,1.5,0.05,0.01,0.06,0.05,0.06,Matches
Ángel Di María\19cda00b,ar ARG,FW,29,45,37,3105,34.5,21,12,21,0,0,1,0,0.61,0.35,0.96,0.61,0.96,11.8,11.8,7.9,19.8,0.50,0.34,0.84,0.50,0.84,Matches
Marco Verratti\1467af0d,it ITA,MF,24,38,36,2983,33.1,2,7,2,0,0,12,3,0.06,0.21,0.27,0.06,0.27,0.4,0.4,1.9,2.3,0.02,0.10,0.12,0.02,0.12,Matches
Neymar\69384e5d,br BRA,FWMF,25,30,30,2686,29.8,28,17,23,5,5,8,1,0.94,0.57,1.51,0.77,1.34,15.4,12.4,11.8,24.2,0.78,0.59,1.37,0.62,1.22,Matches
Julian Draxler\1a992676,de GER,MFFW,23,47,29,2625,29.2,5,9,5,0,0,3,0,0.17,0.31,0.48,0.17,0.48,3.2,3.2,4.3,7.5,0.17,0.23,0.40,0.17,0.40,Matches
Yuri Berchiche\b6e50615,es ESP,DF,27,32,29,2616,29.1,2,6,2,0,0,7,0,0.07,0.21,0.28,0.07,0.28,0.6,0.6,2.2,2.8,0.03,0.12,0.15,0.03,0.15,Matches
Giovani Lo Celso\d7553721,ar ARG,MF,21,48,24,2465,27.4,6,4,6,0,0,4,0,0.22,0.15,0.37,0.22,0.37,3.0,3.0,1.9,4.8,0.15,0.09,0.24,0.15,0.24,Matches
Layvin Kurzawa\41e7ef1c,fr FRA,DF,24,28,27,2424,26.9,5,4,5,0,0,1,0,0.19,0.15,0.33,0.19,0.33,1.8,1.8,1.3,3.0,0.09,0.07,0.16,0.09,0.16,Matches
Thomas Meunier\e162b013,be BEL,DF,25,34,24,2315,25.7,5,6,5,0,0,5,0,0.19,0.23,0.43,0.19,0.43,1.2,1.2,4.8,6.0,0.07,0.27,0.34,0.07,0.34,Matches
Javier Pastore\881ef58c,ar ARG,MFFW,28,37,18,1857,20.6,5,5,5,0,0,2,0,0.24,0.24,0.48,0.24,0.48,2.6,2.6,3.8,6.4,0.17,0.25,0.42,0.17,0.42,Matches
Thiago Motta\57ef0d97,it ITA,MF,34,28,21,1694,18.8,1,2,1,0,0,4,1,0.05,0.11,0.16,0.05,0.16,0.5,0.5,0.4,0.9,0.04,0.03,0.07,0.04,0.07,Matches
