Rk,Squad,Pts,Top Team Scorer
1,Manchester City,98,Sergio Agüero - 21
2,Liverpool,97,Sadio Mané Mohamed Salah - 22
3,Chelsea,72,Eden Hazard - 16
4,Tottenham,71,Harry Kane - 17
5,Arsenal,70,Pierre-Emerick Aubameyang - 22
6,Manchester Utd,66,Paul Pogba - 13
7,Wolves,57,Raúl Jiménez - 13
8,Everton,54,Gylfi Sigurðsson Richarlison - 13
9,Leicester City,52,Jamie Vardy - 18
10,West Ham,52,Marko Arnautović - 10
11,Watford,50,Gerard Deulofeu - 10
12,Crystal Palace,49,Luka Milivojević - 12
13,Newcastle Utd,45,Ayoze Pérez - 12
14,Bournemouth,45,Callum Wilson - 14
15,Burnley,40,Ashley Barnes - 12
16,Southampton,39,Danny Ings James Ward-Prowse - 7
17,Brighton,36,Glenn Murray - 13
18,Cardiff City,34,Bobby Reid Víctor Camarasa - 5
19,Fulham,26,Aleksandar Mitrović - 11
20,Huddersfield,16,Mathias Jørgensen Aaron Mooy... - 3
