Rk,Squad,Pts,Top Team Scorer
1,Real Madrid,86,Karim Benzema - 27
2,Barcelona,73,Memphis Depay - 12
3,Atlético Madrid,71,Ángel Correa - 12
4,Sevilla,70,Rafa Mir - 10
5,Betis,65,Juanmi - 16
6,Real Sociedad,62,Mikel Oyarzabal - 9
7,Villarreal,59,Arnaut Groeneveld - 10
8,Athletic Club,55,Iñaki Williams - 8
9,Valencia,48,Gonçalo Guedes Carlos Soler - 11
10,Osasuna,47,Ante Budimir - 8
11,Celta Vigo,46,Iago Aspas - 18
12,Rayo Vallecano,42,Sergi Guardiola - 8
13,Elche,42,Pere Milla - 8
14,Espanyol,42,Raúl de Tomás - 17
15,Getafe,39,Enes Ünal - 16
16,Mallorca,39,Vedat Muriqi Salva Sevilla - 5
17,Cádiz,39,Anthony Lozano Álvaro Negredo - 7
18,Granada,38,Jorge Molina - 10
19,Levante,35,José Luis Morales - 13
20,Alavés,31,Joselu - 14
