Rk,Squad,Pts,Top Team Scorer
1,Barcelona,87,Lionel Messi - 36
2,Atlético Madrid,76,Antoine Griezmann - 15
3,Real Madrid,68,Karim Benzema - 21
4,Valencia,61,Daniel Parejo - 9
5,Getafe,59,Jaime Mata Jorge Molina - 14
6,Sevilla,59,Wissam Ben Yedder - 18
7,Espanyol,53,Borja Iglesias - 17
8,Athletic Club,53,Iñaki Williams - 12
9,Real Sociedad,50,Mikel Oyarzabal - 13
10,Betis,50,Giovani Lo Celso - 9
11,Alavés,50,Jonathan Calleri - 9
12,Eibar,47,Charles - 14
13,Leganés,45,Youssef En-Nesyri - 9
14,Villarreal,44,Karl Toko Ekambi - 10
15,Levante,44,Roger Martí - 13
16,Valladolid,41,Enes Ünal - 6
17,Celta Vigo,41,Iago Aspas - 20
18,Girona,37,Cristhian Stuani - 19
19,Huesca,33,Ezequiel Ávila - 10
20,Rayo Vallecano,32,Raúl de Tomás - 14
