Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Max Woltman\0e5b695f,eng ENG,FW,17,2,1,46,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Billy Koumetio\866c67e9,fr FRA,DF,18,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Owen Beck\a011a1e9,wls WAL,DF,18,2,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Melkamu Frauendorf\5357221d,de GER,MF,17,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
James Norris\788cd1c9,eng ENG,DF,18,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Isaac Mabaya\0d7be441,eng ENG,MF,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Harvey Davies\fd08a24b,eng ENG,GK,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Liam Hughes\54ae11f8,nir NIR,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
James Balagizi\a5c8bb69,eng ENG,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ben Woodburn\8aadeaef,wls WAL,FWMF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jarrell Quansah\4125cb98,eng ENG,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Rhys Williams\012c975a,eng ENG,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Marcelo Pitaluga\b3cafda8,br BRA,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
