Rk,Squad,Pts,Top Team Scorer
1,Paris S-G,91,Kylian Mbappé - 33
2,Lille,75,Nicolas Pépé - 22
3,Lyon,72,Moussa Dembélé - 15
4,Saint-Étienne,66,Wahbi Khazri - 13
5,Marseille,61,Florian Thauvin - 16
6,Montpellier,59,Andy Delort - 14
7,Nice,56,Youcef Atal - 6
8,Reims,55,Remi Oudin - 10
9,Nîmes,53,Denis Bouanga Renaud Ripart - 8
10,Rennes,52,M'Baye Niang - 11
11,Strasbourg,49,Lebo Mothiba Ludovic Ajorque - 9
12,Nantes,48,Emiliano Sala - 12
13,Angers,46,Stéphane Bahoken - 11
14,Bordeaux,41,François Kamano - 10
15,Amiens,38,Moussa Konaté - 7
16,Toulouse,38,Max Gradel - 11
17,Monaco,36,Radamel Falcao - 15
18,Dijon,34,Júlio Tavares - 5
19,Caen,33,Enzo Crivelli Casimir Ninga - 6
20,Guingamp,27,Marcus Thuram - 9
