,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Alisson\7a2e46a8,br BRA,GK,25,51,51,4590,51.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Virgil van Dijk\e06683ca,nl NED,DF,27,50,50,4464,49.6,6,4,6,0,0,4,0,0.12,0.08,0.20,0.12,0.20,3.9,3.9,1.5,5.4,0.08,0.03,0.11,0.08,0.11,Matches
Mohamed Salah\e342ad68,eg EGY,FW,26,52,49,4331,48.1,27,10,22,5,5,2,0,0.56,0.21,0.77,0.46,0.66,24.7,20.9,10.8,31.7,0.52,0.23,0.74,0.44,0.66,Matches
Sadio Mané\c691bfe2,sn SEN,FW,26,50,49,4295,47.7,26,2,26,0,1,4,0,0.54,0.04,0.59,0.54,0.59,23.8,23.0,5.9,28.8,0.51,0.12,0.63,0.49,0.61,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,24,48,48,4222,46.9,0,13,0,0,0,7,0,0.00,0.28,0.28,0.00,0.28,1.3,1.3,8.5,9.8,0.03,0.18,0.21,0.03,0.21,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,27,47,43,3693,41.0,5,0,5,0,0,4,0,0.12,0.00,0.12,0.12,0.12,4.3,4.3,1.8,6.1,0.10,0.04,0.15,0.10,0.15,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,19,40,38,3381,37.6,1,14,1,0,0,3,0,0.03,0.37,0.40,0.03,0.40,1.8,1.8,9.3,11.1,0.05,0.25,0.30,0.05,0.30,Matches
Roberto Firmino\4c370d81,br BRA,FWMF,26,47,39,3348,37.2,16,7,15,1,1,0,0,0.43,0.19,0.62,0.40,0.59,15.3,14.6,7.2,21.7,0.42,0.19,0.61,0.40,0.59,Matches
Fabinho\7f3b388c,br BRA,MF,24,41,30,2923,32.5,1,2,1,0,0,10,0,0.03,0.06,0.09,0.03,0.09,0.9,0.9,1.5,2.4,0.03,0.05,0.08,0.03,0.08,Matches
