,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
James Milner\2f90f6b8,eng ENG,MFDF,32,45,31,2837,31.5,7,6,2,5,5,9,1,0.22,0.19,0.41,0.06,0.25,6.2,2.4,6.3,8.7,0.21,0.21,0.42,0.08,0.29,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,28,44,29,2819,31.3,1,4,1,0,0,4,1,0.03,0.13,0.16,0.03,0.16,2.2,2.2,3.6,5.8,0.07,0.12,0.19,0.07,0.19,Matches
Joël Matip\b217ef29,cm CMR,DF,26,31,26,2347,26.1,1,1,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,1.3,1.3,0.3,1.5,0.05,0.01,0.06,0.05,0.06,Matches
Naby Keïta\f25c8e3a,gn GUI,MFFW,23,33,22,1813,20.1,3,1,3,0,0,2,0,0.15,0.05,0.20,0.15,0.20,2.8,2.8,1.1,3.9,0.15,0.06,0.21,0.15,0.21,Matches
Joe Gomez\7a11550b,eng ENG,DF,21,25,17,1590,17.7,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.6,0.02,0.02,0.04,0.02,0.04,Matches
Xherdan Shaqiri\6421ec64,ch SUI,FWMF,26,30,15,1420,15.8,6,5,6,0,0,2,0,0.38,0.32,0.70,0.38,0.70,4.0,4.0,2.7,6.7,0.29,0.20,0.49,0.29,0.49,Matches
Dejan Lovren\1a2935f6,hr CRO,DF,29,18,15,1262,14.0,1,0,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,0.7,0.7,0.1,0.9,0.06,0.01,0.07,0.06,0.07,Matches
Daniel Sturridge\1b7ec703,eng ENG,FWMF,28,27,8,879,9.8,4,2,4,0,0,2,0,0.41,0.20,0.61,0.41,0.61,2.5,2.5,2.0,4.5,0.31,0.24,0.56,0.31,0.56,Matches
Divock Origi\43a166b4,be BEL,FW,23,21,7,682,7.6,7,1,7,0,0,0,0,0.92,0.13,1.06,0.92,1.06,3.3,3.3,0.2,3.5,0.50,0.03,0.52,0.50,0.52,Matches
Adam Lallana\99813635,eng ENG,MFFW,30,16,6,573,6.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.7,1.6,0.14,0.11,0.25,0.14,0.25,Matches
Alberto Moreno\11b9265b,es ESP,DF,26,5,4,343,3.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.02,0.16,0.18,0.02,0.18,Matches
Nathaniel Clyne\0442183b,eng ENG,DF,27,5,2,201,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.00,0.04,0.04,0.04,Matches
Simon Mignolet\d436eb94,be BEL,GK,30,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Rafael Camacho\91b43c98,pt POR,DF,18,2,1,91,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Ki-Jana Hoever\9a71e978,nl NED,DF,16,1,0,85,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Curtis Jones\4fb9c88f,eng ENG,MF,17,1,1,69,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,24,2,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,1.29,0.10,1.38,1.29,1.38,Matches
Loris Karius\32e7ce92,de GER,GK,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Rhian Brewster\30e81a88,eng ENG,FW,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Caoimhín Kelleher\62d7ef38,ie IRL,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ben Woodburn\8aadeaef,wls WAL,FWMF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Isaac Christie-Davies\aa62bd5a,wls WAL,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kamil Grabara\62182b1d,pl POL,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Dominic Solanke\e77dc3b2,eng ENG,FW,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
